column_1,column_2,column_3,column_4
1,486720,222895,342910
2,454868,111569,64066
3,297478,668507,839946
4,576668,173007,569377
5,369579,167203,760942
6,902951,970932,920606
7,39295,356341,725754
8,295218,756718,860032
9,210199,38704,122239
10,773444,227287,426368
11,192012,734644,380083
12,716573,129171,8862
13,577783,391990,644017
14,459515,676740,146310
15,617274,616313,431170
16,480826,273899,140688
17,942196,710249,96748
18,382641,439621,761433
19,434359,561471,462601
20,145179,789852,297011
21,130124,600467,220923
22,257246,504012,51675
23,276196,577066,32149
24,235934,239324,763589
25,74220,174331,566504
26,307109,704577,32901
27,850807,284520,568753
28,634707,630724,329243
29,412793,765370,232194
30,917123,474329,828211
31,165533,230595,209151
32,603426,209693,289017
33,155700,56483,632486
34,625653,802565,877798
35,32875,52044,210043
36,194529,804684,390186
37,494473,710895,500013
38,797391,190709,835739
39,878641,970543,487122
40,481421,249026,432447
41,903798,864584,877315
42,993270,83735,920921
43,788471,102462,654306
44,975017,78324,304956
45,510796,926135,947946
46,836198,406708,722479
47,992201,368877,762493
48,753255,101068,294198
49,620100,48284,164452
50,366205,653819,502782
51,6886,271376,156475
52,273511,623473,956264
53,915949,725282,185951
54,405697,823157,376973
55,259421,231327,506032
56,374556,35648,232436
57,701745,370708,626450
58,62492,182238,975832
59,286840,642785,279565
60,972156,26851,83080
61,388120,210698,288900
62,337002,431809,940351
63,289217,396475,252599
64,325810,566751,839895
65,285707,366983,687924
66,635970,56491,144270
67,680974,930007,504145
68,689073,365015,452685
69,805405,756666,134764
70,763488,785173,327460
71,206589,753928,408021
72,764924,448854,146462
73,270884,940955,847547
74,830138,79387,65315
75,14202,503156,259671
76,416119,816307,155597
77,729166,777866,792047
78,562489,628374,379330
79,611631,509554,334212
80,127312,949539,26516
81,557271,14553,780817
82,487389,968337,166563
83,403715,181476,646788
84,256962,845371,719436
85,332141,15375,384579
86,225282,946516,700505
87,544348,85818,787640
88,387815,708584,289170
89,449385,19356,681052
90,591254,315842,644418
91,309941,670010,915698
92,295557,695219,311368
93,199506,53069,687185
94,432627,368129,551896
95,472851,151995,610751
96,582594,499974,346768
97,244883,167946,688828
98,513857,748556,125362
99,733602,991413,897859
100,894599,688153,470580
101,514331,190894,51532
102,993258,343526,527460
103,946111,852107,829856
104,123176,424417,904485
105,826588,933762,681596
106,690853,160283,970050
107,889765,88939,9999
108,908375,232806,325636
109,685530,580054,804265
110,213290,912898,922281
111,25770,223654,411764
112,11961,927902,277189
113,536013,917287,951453
114,138397,141417,866631
115,148545,722223,968735
116,261007,673693,426904
117,673444,153806,169740
118,45776,854140,645838
119,367390,355175,741439
120,887315,572364,526705
121,535154,776404,771926
122,277590,360434,904024
123,458202,377448,353392
124,821381,203012,584526
125,420100,840061,713476
126,283427,923134,369469
127,938264,374691,73278
128,87206,950315,417543
129,83228,410757,339856
130,535266,81678,150619
131,804814,695485,661874
132,224506,426230,268972
133,872379,954727,719699
134,182741,566568,905349
135,257604,200816,623575
136,138050,511003,124536
137,11579,483075,876281
138,251553,450392,436617
139,254572,131187,931135
140,477586,397584,182497
141,495696,739355,714166
142,787821,925548,180305
143,669702,742547,450870
144,982321,403734,837265
145,443333,646323,723527
146,352285,35262,190627
147,129081,739776,62966
148,749248,355848,407721
149,892855,278731,801092
150,713482,204265,868831
151,513737,776100,631923
152,743691,57699,278428
153,655055,802526,855500
154,603941,187732,471105
155,761095,923267,288026
156,174894,851222,392540
157,459782,467856,515433
158,788224,168367,119124
159,174097,833845,245736
160,557073,277620,318855
161,791765,980335,668805
162,986003,135661,548582
163,291066,444025,470926
164,111918,716615,253946
165,97112,667136,610721
166,919193,214624,675676
167,878606,875056,145936
168,815751,906548,544092
169,978681,387597,894817
170,19699,633400,512872
171,521561,129944,2686
172,253594,992455,357884
173,741795,92989,436343
174,800207,404665,315149
175,629657,540051,563497
176,817494,738192,382886
177,903152,597299,201144
178,421545,518795,645606
179,459791,568700,570770
180,267040,127426,890202
181,930274,787714,848332
182,40379,417283,444852
183,677111,487870,609052
184,814360,319768,90523
185,839749,153991,249247
186,548224,333759,300873
